date,indicator_id,region,value,source_url
2021-01-01,meti-gen-solar,jp,1765.516,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-02-01,meti-gen-solar,jp,1620.832,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-03-01,meti-gen-solar,jp,1829.535,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-04-01,meti-gen-solar,jp,1700.208,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-05-01,meti-gen-solar,jp,1632.406,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-06-01,meti-gen-solar,jp,1669.455,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-07-01,meti-gen-solar,jp,1940.835,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-08-01,meti-gen-solar,jp,1982.777,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-09-01,meti-gen-solar,jp,1949.073,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-10-01,meti-gen-solar,jp,1903.983,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-11-01,meti-gen-solar,jp,1706.576,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2021-12-01,meti-gen-solar,jp,1978.722,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-01-01,meti-gen-solar,jp,1968.988,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-02-01,meti-gen-solar,jp,1830.018,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-03-01,meti-gen-solar,jp,1988.153,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-04-01,meti-gen-solar,jp,2163.446,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-05-01,meti-gen-solar,jp,2360.295,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-06-01,meti-gen-solar,jp,2181.056,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-07-01,meti-gen-solar,jp,2138.611,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-08-01,meti-gen-solar,jp,2076.284,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-09-01,meti-gen-solar,jp,1847.508,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-10-01,meti-gen-solar,jp,1761.498,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-11-01,meti-gen-solar,jp,1457.574,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2022-12-01,meti-gen-solar,jp,1192.365,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-01-01,meti-gen-solar,jp,1253.787,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-02-01,meti-gen-solar,jp,1503.136,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-03-01,meti-gen-solar,jp,2139.889,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-04-01,meti-gen-solar,jp,2130.853,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-05-01,meti-gen-solar,jp,2389.504,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-06-01,meti-gen-solar,jp,2169.822,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-07-01,meti-gen-solar,jp,2536.196,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-08-01,meti-gen-solar,jp,2506.711,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-09-01,meti-gen-solar,jp,2012.965,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-10-01,meti-gen-solar,jp,2007.216,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-11-01,meti-gen-solar,jp,1547.241,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2023-12-01,meti-gen-solar,jp,1344.904,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-01-01,meti-gen-solar,jp,1462.435,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-02-01,meti-gen-solar,jp,1567.029,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-03-01,meti-gen-solar,jp,2154.23,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-04-01,meti-gen-solar,jp,2276.376,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-05-01,meti-gen-solar,jp,2529.438,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-06-01,meti-gen-solar,jp,2511.645,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-07-01,meti-gen-solar,jp,2577.022,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-08-01,meti-gen-solar,jp,2669.812,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-09-01,meti-gen-solar,jp,2340.929,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-10-01,meti-gen-solar,jp,1741.81,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-11-01,meti-gen-solar,jp,1570.357,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2024-12-01,meti-gen-solar,jp,1506.074,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-01-01,meti-gen-solar,jp,1630.281,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-02-01,meti-gen-solar,jp,1801.552,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-03-01,meti-gen-solar,jp,2183.665,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-04-01,meti-gen-solar,jp,2800.781,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-05-01,meti-gen-solar,jp,3910.752,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-06-01,meti-gen-solar,jp,4135.596,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-07-01,meti-gen-solar,jp,5110.133,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-08-01,meti-gen-solar,jp,3015.369,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-09-01,meti-gen-solar,jp,3512.378,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-10-01,meti-gen-solar,jp,2912.729,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-11-01,meti-gen-solar,jp,1750.804,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
2025-12-01,meti-gen-solar,jp,1500.017,https://www.enecho.meti.go.jp/statistics/electric_power/ep002/
